12	8	8	20	12	8	16	8	12	16	16	12	20	16	16	20	8	12	20	16	12	12	16	8	16	16	12	8	12	16	12	16	12	8	16	16	12	16	16	12	16	8	12	12	8	12	12	16	8	16	12	12	8	16	12	16	12	20	12	12	12	20	8	12	8	12	24	20	16	12	16	12	12	20	12	12	16	12	8	16	12	20	12	24	24	12	24	20	8	16	16	20	20	12	12	16	24	16	16	12	20	16	16	20	12	20	24	20	20	16	16	28	12	20	20	16	20	24	24	24	28	20	28	24	24	16	24	28	24	28	12	24	20	36	28	28	24	36	36	20	32	20	24	28	36	28	28	40	20	20	28	28	40	28	40	20	32	36	24	28	32	32	32	24	28	28	36	16	28	40	20	28	20	28	28	40	24	24	28	20	32	32	28	24	32	32	24	44	28	20	32	28	24	44	20	32	28	20	28	28
8	8	16	20	4	20	16	16	32	24	20	16	32	32	24	16	20	12	12	12	16	12	8	12	8	16	8	12	16	8	16	12	8	20	12	4	12	16	8	8	16	16	16	12	20	12	8	20	16	16	16	12	12	8	12	16	12	12	16	12	16	12	16	12	12	20	8	16	12	16	12	16	16	20	24	16	16	20	12	16	8	24	24	8	20	16	24	8	20	24	12	20	16	16	16	20	32	12	16	28	20	24	16	16	24	16	20	16	20	24	24	28	24	16	24	32	28	28	24	28	28	28	32	20	20	28	28	24	36	28	24	28	24	28	28	32	20	20	40	24	28	24	28	32	28	32	28	32	36	32	28	28	44	32	28	28	28	24	32	24	32	28	28	28	32	32	32	32	28	28	24	28	28	36	32	36	32	28	36	40	32	24	36	32	28	32	20	28	28	24	32	28	36	36	32	32	32	36	32	32
12	8	12	8	12	12	8	12	8	16	12	16	8	16	16	16	4	12	20	20	20	12	8	16	12	12	12	16	12	12	8	12	12	12	8	12	12	12	12	20	8	20	4	16	12	12	20	4	16	16	12	4	12	8	16	8	12	16	12	16	12	20	12	12	16	12	12	8	20	8	24	12	16	8	20	8	12	12	16	16	16	8	16	8	16	20	12	12	12	12	12	20	20	4	12	24	20	12	16	16	16	16	20	20	16	12	12	24	12	16	12	20	20	20	16	16	24	20	16	16	12	16	16	20	24	24	16	16	16	24	20	16	24	16	8	24	32	16	28	24	28	20	24	16	16	20	20	20	20	20	20	24	24	20	24	20	20	12	28	16	20	12	20	20	24	24	16	20	36	12	24	20	12	24	32	16	24	16	28	24	28	32	28	16	20	32	12	24	20	16	24	32	20	24	28	20	20	32	28	28
12	12	16	12	12	12	12	12	16	16	16	16	4	8	16	8	12	8	16	8	12	16	12	24	12	20	8	12	16	8	16	16	16	12	16	12	16	12	16	24	12	24	4	12	12	16	20	8	12	16	12	16	12	12	20	12	12	8	12	16	16	8	16	16	8	24	16	20	8	20	16	16	12	12	12	16	16	16	12	16	16	16	20	24	28	12	16	20	16	24	12	16	24	12	16	28	8	32	20	20	24	24	20	20	28	12	20	28	20	20	28	16	20	24	24	28	36	28	28	24	28	20	32	24	20	24	24	20	28	20	16	36	32	28	28	24	28	32	28	28	36	36	20	36	24	24	28	24	24	28	32	32	32	28	20	36	32	32	28	24	32	28	20	32	40	40	36	36	20	40	28	32	24	32	28	28	32	28	32	28	36	32	40	32	36	28	28	20	32	28	36	28	20	32	32	24	32	40	32	36
20	12	24	20	48	36	56	68	108	144	152	244	288	316	336	404	448	524	572	652	760	824	1084	1196	1372	1612	1868	2016	2120	2340	2380	2492	2392	2352	2244	2068	1728	1552	1332	1084	872	792	664	552	544	532	560	648	744	756	928	924	976	1032	1044	1236	1208	1312	1336	1440	1476	1508	1564	1624	1564	1648	1652	1640	1568	1660	1660	1620	1576	1552	1568	1500	1536	1440	1444	1444	1384	1380	1436	1456	1492	1504	1552	1520	1676	1596	1724	1760	1888	1916	2096	2180	2176	2352	2384	2480	2628	2712	2868	3020	3056	3144	3272	3400	3452	3532	3708	3748	3868	3896	3976	3948	4096	4200	4232	4264	4128	4296	4344	4280	4380	4344	4280	4420	4344	4176	4160	4412	4132	4196	4040	3988	3904	3844	3844	3604	3620	3528	3436	3480	3296	3092	3092	2976	2820	2756	2712	2604	2460	2364	2376	2208	2188	1968	1896	1804	1856	1808	1688	1552	1488	1476	1396	1292	1312	1200	1196	1080	1068	964	980	872	872	816	768	812	764	676	628	664	612	568	532	548	540	484	480	436	432	404	416	420	404	404	360	348
20	24	28	44	60	88	112	196	192	248	304	320	352	440	464	524	592	696	796	964	1140	1360	1548	1876	2032	2208	2308	2432	2512	2456	2308	2264	2076	1780	1560	1368	1004	900	672	592	580	544	576	600	688	708	808	872	912	1076	1104	1128	1184	1248	1292	1344	1444	1388	1428	1496	1528	1520	1576	1564	1612	1660	1504	1552	1528	1440	1464	1464	1416	1364	1440	1384	1408	1396	1396	1364	1480	1464	1560	1628	1700	1708	1864	1844	1940	2048	2196	2240	2464	2528	2524	2876	2892	3016	3164	3224	3272	3540	3720	3728	3928	3876	4016	4120	4200	4364	4496	4468	4508	4568	4672	4596	4612	4708	4792	4740	4616	4712	4612	4616	4584	4716	4508	4452	4324	4260	4248	4096	4092	3928	3844	3876	3652	3544	3500	3432	3124	3040	3024	2892	2804	2736	2604	2520	2280	2352	2196	2088	2032	1952	1856	1732	1628	1604	1524	1360	1308	1188	1212	1124	1132	1048	968	952	940	808	816	780	768	692	692	672	656	624	576	564	552	568	476	504	476	420	448	404	376	384	392	376	368	352	316	336	332	324	276	300
48	76	96	144	228	296	448	532	656	896	1084	1252	1460	1668	1856	2172	2512	3040	3680	4192	4968	5848	6684	7388	8420	9164	9436	9776	9980	9812	9268	8700	7828	6896	5952	4972	3988	3300	2760	2488	2296	2364	2356	2392	2740	3016	3200	3520	3880	4084	4412	4648	4956	5212	5508	5700	5936	6148	6240	6412	6496	6472	6444	6540	6572	6520	6340	6276	6244	6032	5988	5904	5804	5740	5588	5584	5568	5608	5552	5708	5836	6000	5996	6204	6576	6696	7276	7420	7856	8224	8520	9068	9184	9588	10052	10836	10856	11468	11928	12392	12804	13300	13592	14004	14464	14776	15192	15540	16084	15916	16412	16592	16808	17032	17344	17300	17528	17560	17564	17836	17640	17580	17696	17664	17592	17260	17264	16856	16672	16324	15908	15776	15536	15052	15308	14500	14112	13900	13416	13092	12692	12328	11720	11280	10860	10808	10172	9864	9688	9352	8824	8448	8124	7980	7672	7168	6852	6508	6256	6128	5692	5448	5276	4936	4792	4592	4388	4172	3972	3684	3556	3404	3208	3068	2972	2868	2576	2584	2500	2320	2272	2080	2076	1896	1908	1864	1700	1676	1564	1456	1504	1464	1368	1308	1316	1264	1256	1200	1112	1124
32	36	80	112	180	236	324	428	528	732	792	960	1112	1280	1484	1672	2076	2368	2856	3512	4032	4768	5624	6312	7148	7824	8500	8868	8872	8956	8476	7928	7380	6300	5620	4672	3776	3168	2620	2220	1856	2032	2048	2188	2464	2708	2932	3276	3460	3752	4120	4344	4624	4940	5028	5448	5536	5716	5848	5820	6216	6356	6216	6464	6208	6280	6056	6008	5928	6048	5724	5592	5444	5436	5384	5348	5472	5200	5280	5300	5292	5408	5636	5756	6120	6036	6304	6636	6896	7276	7640	7924	8264	8692	8896	9584	9852	10228	10744	10988	11376	11756	12048	12432	12796	13108	13364	13728	13748	13888	14308	14376	14820	14608	14776	15072	14940	15168	15004	15232	15060	15092	15152	14760	14764	14492	14508	14164	13916	13996	13580	13436	12972	12760	12436	12124	11816	11632	11492	10992	10816	10356	10124	9840	9424	9328	8700	8592	8096	7816	7624	7416	6880	6624	6332	6184	5928	5724	5352	5236	5076	4640	4484	4424	4076	3976	3912	3596	3532	3352	3168	2972	2928	2704	2568	2408	2440	2296	2088	2040	2076	1896	1812	1740	1620	1612	1532	1472	1384	1360	1384	1260	1196	1204	1072	1088	1108	1064	1016	940
12	12	20	12	20	36	44	68	92	124	176	192	252	292	348	376	452	496	628	708	836	1000	1244	1420	1576	1832	2132	2188	2272	2448	2512	2392	2292	2192	2040	1844	1444	1248	1068	892	748	660	612	588	544	644	720	756	864	892	932	1008	1072	1220	1264	1284	1356	1476	1460	1548	1532	1628	1620	1640	1644	1640	1740	1712	1632	1652	1584	1644	1540	1556	1452	1496	1556	1472	1468	1500	1484	1548	1532	1632	1596	1720	1708	1928	1872	1968	2080	2076	2316	2396	2472	2576	2712	2820	2936	3068	3244	3260	3396	3620	3636	3612	3720	3920	4008	4068	4276	4268	4288	4544	4436	4528	4672	4612	4712	4592	4800	4580	4612	4632	4584	4344	4576	4388	4308	4272	4316	4052	4028	4024	3752	3696	3648	3700	3436	3388	3168	3216	3060	2968	2924	2684	2592	2452	2372	2340	2280	2192	2084	1996	1868	1808	1692	1552	1476	1420	1372	1340	1232	1148	1092	1172	1020	984	992	924	824	804	784	696	672	652	624	576	560	528	568	496	512	476	436	424	408	396	408	372	376	324	332	344	344	284	308	328	288	292
16	24	20	32	52	60	104	112	168	200	268	264	300	376	484	516	596	724	900	1084	1256	1484	1680	1888	2128	2268	2436	2556	2544	2484	2296	2124	1892	1668	1360	1164	912	776	680	628	568	600	604	668	732	804	780	984	1036	1088	1180	1272	1356	1388	1440	1532	1576	1528	1672	1652	1708	1752	1632	1648	1700	1692	1656	1736	1624	1644	1544	1580	1560	1536	1484	1516	1528	1516	1524	1652	1588	1692	1800	1804	1900	1976	2040	2096	2196	2336	2452	2588	2552	2764	2848	3088	3100	3348	3308	3628	3660	3824	3820	3952	4168	4172	4264	4352	4456	4456	4572	4616	4668	4824	4668	4904	4784	4920	4800	4892	4864	4752	4612	4696	4544	4640	4492	4408	4388	4320	4292	4192	3976	4020	3872	3744	3584	3560	3456	3260	3108	3136	2932	2788	2652	2696	2480	2472	2364	2216	2148	2064	2076	1928	1804	1696	1664	1572	1588	1424	1384	1292	1216	1140	1156	1028	996	1024	912	888	852	784	780	704	688	660	656	608	604	592	548	496	492	484	492	480	456	416	364	384	380	360	348	352	336	320	352	312	288	320
